date,Account,daily_pnl,win_rate,average_trade_size,trades_per_day,long_ratio,short_ratio,classification,frequency_segment,consistency_segment,next_day_pnl,target,sentiment_flag
2024-06-12,0x083384f897ee0f19899168e3b1bec365f52a9012,-175611.00005600002,0.0,36736.36242424243,33,1.0,0.0,Greed,Frequent,Consistent,0.0,0,1
2024-11-11,0x083384f897ee0f19899168e3b1bec365f52a9012,0.0,0.0,5089.718248587571,177,0.0,1.0,Extreme Greed,Frequent,Consistent,9482.221441,1,0
2025-01-03,0x083384f897ee0f19899168e3b1bec365f52a9012,9482.221441,0.8,2985.797555555556,45,0.8,0.2,Greed,Frequent,Consistent,76710.0,1,1
2025-02-02,0x083384f897ee0f19899168e3b1bec365f52a9012,76710.0,0.9,185847.0,10,0.9,0.1,Greed,Frequent,Consistent,101011.685664,1,1
2025-03-02,0x083384f897ee0f19899168e3b1bec365f52a9012,101011.685664,0.30512514898688914,23593.019856972587,839,0.4171632896305125,0.5828367103694875,Fear,Frequent,Consistent,533974.662903,1,0
2025-03-03,0x083384f897ee0f19899168e3b1bec365f52a9012,533974.662903,0.8424336973478939,8371.136099843994,641,0.8424336973478939,0.15756630265210608,Fear,Frequent,Consistent,375620.270243,1,0
2025-04-02,0x083384f897ee0f19899168e3b1bec365f52a9012,375620.270243,0.15630885122410546,10576.687156308852,531,0.20903954802259886,0.7909604519774012,Fear,Frequent,Consistent,44400.9058,1,0
2025-05-02,0x083384f897ee0f19899168e3b1bec365f52a9012,44400.9058,0.37142857142857144,26585.06338095238,210,0.37142857142857144,0.6285714285714286,Greed,Frequent,Consistent,,0,1
2024-01-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,0.06,1,0.0,1.0,Greed,Frequent,Inconsistent,0.0,0,1
2024-06-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,1426.8700000000001,34,1.0,0.0,Greed,Frequent,Inconsistent,3515.031065,1,1
2024-07-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,3515.031065,0.9615384615384616,2001.101153846154,26,0.0,1.0,Fear,Frequent,Inconsistent,0.0,0,0
2024-09-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,1131.888695652174,46,1.0,0.0,Fear,Frequent,Inconsistent,2517.787385,1,0
2024-10-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2517.787385,0.984375,852.88625,64,0.0,1.0,Neutral,Frequent,Inconsistent,1162.002541,1,0
2025-01-02,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1162.002541,0.32051282051282054,2094.719358974359,78,0.6794871794871795,0.32051282051282054,Greed,Frequent,Inconsistent,1243.853569,1,1
2025-01-05,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1243.853569,0.324,815.50576,250,0.676,0.324,Greed,Frequent,Inconsistent,6352.452613,1,1
2025-02-02,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,6352.452613,0.4506769825918762,2792.42166344294,517,0.5222437137330754,0.47775628626692457,Greed,Frequent,Inconsistent,2480.902379,1,1
2025-03-03,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2480.902379,0.45454545454545453,1999.099181818182,110,0.5454545454545454,0.45454545454545453,Fear,Frequent,Inconsistent,0.0,0,0
2025-03-04,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.0,0.0,54768.6,1,1.0,0.0,Extreme Fear,Frequent,Inconsistent,-3169.3554679999997,0,0
2025-04-03,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-3169.3554679999997,0.0,1756.5103076923076,65,0.8461538461538461,0.15384615384615385,Fear,Frequent,Inconsistent,,0,0
2024-05-12,0x271b280974205ca63b716753467d5a371de622ab,208.81746,0.75,39530.9875,4,0.75,0.25,Greed,Infrequent,Consistent,,0,1
2024-01-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4458.25495,0.5025906735751295,247.12725388601035,193,0.34196891191709844,0.6580310880829016,Greed,Frequent,Consistent,1283.846047,1,1
2024-02-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1283.846047,0.5214285714285715,140.36935714285713,140,0.5,0.5,Greed,Frequent,Consistent,1190.358719,1,1
2024-03-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1190.358719,0.47435897435897434,92.37217948717948,78,0.358974358974359,0.6410256410256411,Extreme Greed,Frequent,Consistent,9066.169646,1,0
2024-04-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,9066.169646,0.5357142857142857,165.78285714285715,112,0.26785714285714285,0.7321428571428571,Extreme Greed,Frequent,Consistent,14685.787664,1,0
2024-05-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,14685.787664,0.4897959183673469,259.2459183673469,98,0.336734693877551,0.6632653061224489,Greed,Frequent,Consistent,389.176232,1,1
2024-06-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,389.176232,0.2318840579710145,129.80536231884057,69,0.391304347826087,0.6086956521739131,Greed,Frequent,Consistent,4008.012049,1,1
2024-07-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4008.012049,0.4186046511627907,159.67825581395348,86,0.23255813953488372,0.7674418604651163,Fear,Frequent,Consistent,554.009942,1,0
2024-08-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,554.009942,0.4215686274509804,77.67176470588235,102,0.30392156862745096,0.696078431372549,Fear,Frequent,Consistent,768.430838,1,0
2024-09-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,768.430838,0.5915492957746479,88.1318309859155,213,0.7934272300469484,0.20657276995305165,Fear,Frequent,Consistent,980.557461,1,0
2024-10-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,980.557461,0.6751592356687898,119.62222929936306,157,0.7452229299363057,0.25477707006369427,Neutral,Frequent,Consistent,1582.001112,1,0
2024-11-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,1582.001112,0.34408602150537637,124.41204301075268,93,0.17204301075268819,0.8279569892473119,Extreme Greed,Frequent,Consistent,5806.86932,1,0
2024-12-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,5806.86932,0.5578231292517006,150.14530612244897,147,0.19047619047619047,0.8095238095238095,Extreme Greed,Frequent,Consistent,109.82694000000001,1,0
2025-01-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,109.82694000000001,0.3559322033898305,263.3476271186441,59,0.7457627118644068,0.2542372881355932,Greed,Frequent,Consistent,3.536668000000001,1,1
2025-01-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,3.536668000000001,0.4117647058823529,1057.5154901960784,51,0.5882352941176471,0.4117647058823529,Greed,Frequent,Consistent,557.9358,1,1
2025-01-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,557.9358,0.3783783783783784,840.2127027027027,37,0.4864864864864865,0.5135135135135135,Greed,Frequent,Consistent,768.351892,1,1
2025-01-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,768.351892,0.6585365853658537,422.4107317073171,41,0.34146341463414637,0.6585365853658537,Greed,Frequent,Consistent,16.923621,1,1
2025-01-05,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,16.923621,1.0,135.32,2,0.0,1.0,Greed,Frequent,Consistent,416.546688,1,1
2025-02-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,416.546688,0.45544554455445546,217.69336633663366,101,0.24752475247524752,0.7524752475247525,Greed,Frequent,Consistent,-1416.906536,0,1
2025-02-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-1416.906536,0.054945054945054944,1328.6620879120878,91,0.8791208791208791,0.12087912087912088,Greed,Frequent,Consistent,8330.21747,1,1
2025-02-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,8330.21747,0.7671232876712328,1432.3072602739728,73,0.2465753424657534,0.7534246575342466,Fear,Frequent,Consistent,669.381363,1,0
